dataset,GA,PA,ED,N_ED
HDFS,1.0,1.0,0.0,1.0
Hadoop,0.984,0.8845,6.659,0.9518
Spark,0.9975,0.9705,0.375,0.98881
Zookeeper,0.9945,0.9875,0.4315,0.99466
BGL,0.987,0.91,2.5535,0.97211
HPC,0.9525,0.943,0.3495,0.99574
Thunderbird,0.976,0.8595,1.5725,0.96305
Windows,1.0,0.609,8.7755,0.86261
Linux,0.996,0.73,2.367,0.96907
Android,0.9545,0.7875,4.7055,0.94981
HealthApp,0.99,0.985,0.4105,0.9922
Apache,1.0,0.978,0.23,0.99616
OpenSSH,1.0,0.9755,1.061,0.98906
OpenStack,1.0,0.982,0.3585,0.99516
Mac,0.828,0.519,11.103,0.87158
avg,0.9773,0.8747,2.7301,0.96612
